auta;spnd;numa
Rochlitz, Johann Friedrich;44950;9/126 9/458 9/526 9/582 9/685 9/844 9/881 9/1303 9/1485 9/1594
Frege & Co.;46151;9/127 9/308 9/471 9/796 9/846 9/874 9/913 9/1158 9/1169 9/1258 9/1305 9/1310 9/1363
Gödör, Joseph von;37491;9/128 9/332 9/550
Schütz, Christian Georg;45239;9/132
Iken, Karl Jakob Ludwig;44118;9/133 9/181 9/504 9/559 9/621 9/1188 9/1553
Carus, Karl Gustav;36285;9/135 9/321 9/1175 9/1230 9/1262 9/1286 9/1331 9/1370 9/1491
Hopffgarten, Sophie Karoline von;44071;9/136 9/298 9/338 9/407 9/464 9/501 9/634 9/1185
Lyncker, Karl Wilhelm Heinrich von;44473;9/143 9/467 9/1035 9/1153
Egloffstein, Julie Gräfin von und zu;46093;9/144 9/1601
Goethe, August von;43780;9/145 9/147 9/148 9/153 9/154 9/157 9/161 9/164 9/170 9/174 9/178 9/196 9/200 9/210 9/211 9/217 9/223 9/234 9/240 9/256 9/258 9/263 9/269 9/282 9/290 9/293 9/297 9/309 9/315 9/327 9/336 9/337 9/344 9/351 9/355 9/370 9/409 9/410 9/418 9/425 9/435 9/439 9/443 9/449 9/454 9/460 9/472 9/486 9/489 9/492 9/495 9/500 9/508 9/525 9/530 9/539 9/542 9/934 9/939 9/943 9/954 9/958 9/971 9/974 9/984 9/985 9/990 9/995 9/1000 9/1008 9/1011 9/1020 9/1023 9/1024 9/1031 9/1037 9/1045 9/1055 9/1067 9/1073 9/1084 9/1091 9/1096 9/1098 9/1106 9/1348 9/1349 9/1352 9/1354 9/1362 9/1379 9/1385 9/1394 9/1398 9/1404 9/1408 9/1427 9/1430 9/1431 9/1433
Herrmann, August;46991;9/146
Linz, August;39191;9/149
Zeller, Johann Georg;42872;9/150 9/595
Müller, Johann Christian Ernst;44619;9/152
Krug von Nidda, Friedrich Ludwig Albrecht Franz;44324;9/155 9/648 9/1251
Lecerf, Justus Amadeus;39044;9/160
Büchler, Johann Lambert;43289;9/163 9/191 9/374 9/551 9/734 9/1036
Rehbein, Wilhelm;40555;9/165 9/257 9/463 9/856 9/1030 9/1409
Wenke, Karl Wilhelm;50008;9/166
Goes, Karl Georg Friedrich;37510;9/167
Beschorner, Anton;46902;9/169
Schubarth, Karl Ernst;41353;9/171 9/172 9/307 9/311 9/413 9/437 9/520 9/567 9/573 9/583 9/643 9/667 9/811 9/831 9/868 9/961 9/1048 9/1062 9/1103 9/1132 9/1144 9/1146 9/1163 9/1170 9/1178 9/1225 9/1231 9/1517 9/1570
Willemer, Marianne von;45745;9/175 9/411 9/610 9/627 9/756 9/795 9/878 9/970 9/1273 9/1376 9/1515 9/1606
Willemer, Johann Jakob von;42695;9/175 9/624 9/824 9/962 9/969 9/1377 9/1559 9/1605
Mohr, Johanna Maria Elisabeth;44589;9/176 9/485 9/599 9/859
Laspe, Christian Gottlob;38997;9/179
Schäffer, Jakob Christian Gottlieb von;41072;9/180
Rein, August Gotthilf;40593;9/182
Wilbrand, Johann Bernhard;50555;9/184 9/358
Gmelin, Wilhelm Friedrich;37476;9/185
Ruckstuhl, Karl Joseph Heinrich;44988;9/190 9/1366
